DEBUG 2020-04-18 13:17:54,594 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\copy.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,594 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\pytz\__init__.py first seen with mtime 1573801147.9535794
DEBUG 2020-04-18 13:17:54,594 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\json\__init__.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,595 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\markupsafe\_speedups.cp36-win_amd64.pyd first seen with mtime 1551142333.0
DEBUG 2020-04-18 13:17:54,595 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\importlib\machinery.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,595 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\utils\cache.py first seen with mtime 1578290776.330201
DEBUG 2020-04-18 13:17:54,595 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\weakref.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,595 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\views\generic\base.py first seen with mtime 1578290776.4109886
DEBUG 2020-04-18 13:17:54,595 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\encodings\latin_1.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,596 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1578290775.8692107
DEBUG 2020-04-18 13:17:54,596 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1573801147.961558
DEBUG 2020-04-18 13:17:54,596 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\utils\encoding.py first seen with mtime 1578290776.341172
DEBUG 2020-04-18 13:17:54,596 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\nturl2path.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,596 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1578290766.493061
DEBUG 2020-04-18 13:17:54,596 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1578290776.373089
DEBUG 2020-04-18 13:17:54,597 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\genericpath.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,597 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1578290766.4940588
DEBUG 2020-04-18 13:17:54,597 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1578290775.9725542
DEBUG 2020-04-18 13:17:54,597 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1557813279.823664
DEBUG 2020-04-18 13:17:54,597 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\jinja2\utils.py first seen with mtime 1509480624.0
DEBUG 2020-04-18 13:17:54,597 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\jinja2\tests.py first seen with mtime 1509480624.0
DEBUG 2020-04-18 13:17:54,598 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1578290774.320783
DEBUG 2020-04-18 13:17:54,598 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1578290775.9066453
DEBUG 2020-04-18 13:17:54,598 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\template\utils.py first seen with mtime 1578290776.2045307
